Time,PWM,ToF
6136.00000000,70.00000000,8.31700000
6151.00000000,70.00000000,8.46100000
6161.00000000,70.00000000,8.55700000
6171.00000000,70.00000000,8.65300000
6180.00000000,70.00000000,8.74000000
6185.00000000,70.00000000,8.78800000
6200.00000000,70.00000000,8.93200000
6210.00000000,70.00000000,9.28000000
6220.00000000,70.00000000,9.12500000
6230.00000000,70.00000000,9.22100000
6237.00000000,70.00000000,9.28800000
6242.00000000,70.00000000,9.33600000
6247.00000000,70.00000000,9.38400000
6263.00000000,70.00000000,9.53800000
6273.00000000,70.00000000,9.63400000
6284.00000000,70.00000000,9.74000000
6295.00000000,70.00000000,9.84600000
6306.00000000,-70.00000000,7.00000000
6317.00000000,-70.00000000,6.94500000
6324.00000000,-70.00000000,6.91100000
6335.00000000,-70.00000000,6.85700000
6346.00000000,-70.00000000,6.80200000
6357.00000000,-70.00000000,6.74800000
6368.00000000,-70.00000000,6.69400000
6383.00000000,-70.00000000,6.62000000
6393.00000000,-70.00000000,6.57100000
6401.00000000,70.00000000,9.00000000
6406.00000000,-70.00000000,9.10500000
6421.00000000,-70.00000000,9.42100000
6431.00000000,-70.00000000,9.63100000
6441.00000000,-70.00000000,9.84200000
6451.00000000,-70.00000000,10.52000000
6462.00000000,-70.00000000,10.28400000
6473.00000000,-70.00000000,10.51500000
6484.00000000,-70.00000000,10.74700000
6495.00000000,-70.00000000,10.97800000
6506.00000000,-70.00000000,10.00000000
6520.00000000,-70.00000000,10.13300000
6528.00000000,-70.00000000,10.20900000
6533.00000000,-70.00000000,10.25700000
6548.00000000,-70.00000000,10.40000000
6558.00000000,-70.00000000,10.49500000
6568.00000000,-70.00000000,10.59000000
6578.00000000,-70.00000000,10.68500000
6589.00000000,-70.00000000,10.79000000
6595.00000000,-70.00000000,10.84700000
6600.00000000,70.00000000,17.00000000
6606.00000000,-70.00000000,17.44600000
6622.00000000,-70.00000000,18.63800000
6632.00000000,-70.00000000,19.38200000
6643.00000000,-70.00000000,20.20200000
6649.00000000,-70.00000000,20.64800000
6654.00000000,-70.00000000,21.21000000
6671.00000000,-70.00000000,22.28700000
6682.00000000,-70.00000000,23.10600000
6693.00000000,-70.00000000,23.92500000
6704.00000000,70.00000000,26.00000000
6719.00000000,-70.00000000,27.29800000
6729.00000000,-70.00000000,28.16300000
6738.00000000,-70.00000000,28.94200000
6749.00000000,-70.00000000,29.89400000
6760.00000000,-70.00000000,30.84600000
6771.00000000,-70.00000000,31.79800000
6782.00000000,-70.00000000,32.75000000
6797.00000000,70.00000000,40.00000000
6807.00000000,-70.00000000,41.50500000
6817.00000000,-70.00000000,43.10000000
6827.00000000,-70.00000000,44.51600000
6837.00000000,-70.00000000,46.21000000
6848.00000000,-70.00000000,47.67700000
6854.00000000,-70.00000000,48.58000000
6859.00000000,-70.00000000,49.33300000
6876.00000000,-70.00000000,51.89200000
6887.00000000,-70.00000000,53.54800000
6898.00000000,-70.00000000,51.00000000
6909.00000000,-70.00000000,52.19800000
6924.00000000,-70.00000000,53.83100000
6934.00000000,-70.00000000,54.92000000
6944.00000000,-70.00000000,56.90000000
6954.00000000,-70.00000000,57.99000000
