2024-05-05 19:08:32,091 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:08:50,124 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:08:52,799 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:09:37,220 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:09:52,842 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:09:55,546 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:10:23,706 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:10:40,193 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:10:42,811 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:11:55,371 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:13:22,133 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:13:25,040 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:14:31,600 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:15:18,859 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-05-05 19:15:21,472 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-05-05 19:17:23,037 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-05-05 19:18:15,843 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
